date;time;tempmeas;refcool;refheat;ctrlenabled;forcefan;
26/08/2013;00:15:35;75,8;75,4;63,0;3;0;
26/08/2013;00:16:35;75,8;75,4;63,0;3;0;
26/08/2013;00:17:35;75,7;75,4;63,0;3;0;
26/08/2013;00:18:34;75,6;75,4;63,0;3;0;
26/08/2013;00:19:34;75,5;75,4;63,0;3;0;
26/08/2013;00:20:35;75,5;75,4;63,0;3;0;
26/08/2013;00:21:35;75,5;75,4;63,0;3;0;
26/08/2013;00:22:35;75,4;75,4;63,0;3;0;
26/08/2013;00:23:35;75,3;75,4;63,0;3;0;
26/08/2013;00:24:35;75,2;75,4;63,0;3;0;
26/08/2013;00:25:35;75,3;75,4;63,0;3;0;
26/08/2013;00:26:35;75,2;75,4;63,0;3;0;
26/08/2013;00:27:35;75,1;75,4;63,0;3;0;
26/08/2013;00:28:35;75,1;75,4;63,0;3;0;
26/08/2013;00:29:35;74,9;75,4;63,0;2;0;
26/08/2013;00:30:35;75,1;75,4;63,0;2;0;
26/08/2013;00:31:35;75,1;75,4;63,0;2;0;
26/08/2013;00:32:38;75,1;75,4;63,0;2;0;
26/08/2013;00:33:35;75,1;75,4;63,0;2;0;
26/08/2013;00:34:35;75,1;75,4;63,0;2;0;
26/08/2013;00:35:35;75,1;75,4;63,0;2;0;
26/08/2013;00:36:35;75,1;75,4;63,0;2;0;
26/08/2013;00:37:35;75,1;75,4;63,0;2;0;
26/08/2013;00:38:35;75,1;75,4;63,0;2;0;
26/08/2013;00:39:35;75,1;75,4;63,0;2;0;
26/08/2013;00:40:35;75,1;75,4;63,0;2;0;
26/08/2013;00:41:35;75,1;75,4;63,0;2;0;
26/08/2013;00:42:35;75,1;75,4;63,0;2;0;
26/08/2013;00:43:35;75,2;75,4;63,0;2;0;
26/08/2013;00:44:35;75,2;75,4;63,0;2;0;
26/08/2013;00:45:35;75,2;75,4;63,0;2;0;
26/08/2013;00:46:35;75,2;75,4;63,0;2;0;
26/08/2013;00:47:35;75,2;75,4;63,0;2;0;
26/08/2013;00:48:35;75,2;75,4;63,0;2;0;
26/08/2013;00:49:35;75,2;75,4;63,0;2;0;
26/08/2013;00:50:35;75,2;75,4;63,0;2;0;
26/08/2013;00:51:35;75,2;75,4;63,0;2;0;
26/08/2013;00:52:35;75,3;75,4;63,0;2;0;
26/08/2013;00:53:35;75,3;75,4;63,0;2;0;
26/08/2013;00:54:35;75,3;75,4;63,0;2;0;
26/08/2013;00:55:35;75,3;75,4;63,0;2;0;
26/08/2013;00:56:35;75,3;75,4;63,0;2;0;
26/08/2013;00:57:35;75,3;75,4;63,0;2;0;
26/08/2013;00:58:35;75,3;75,4;63,0;2;0;
26/08/2013;00:59:35;75,3;75,4;63,0;2;0;
26/08/2013;01:00:35;75,3;75,4;63,0;2;0;
26/08/2013;01:01:35;75,3;75,4;63,0;2;0;
26/08/2013;01:02:35;75,4;75,4;63,0;2;0;
26/08/2013;01:03:35;75,4;75,4;63,0;2;0;
26/08/2013;01:04:35;75,4;75,4;63,0;2;0;
26/08/2013;01:05:35;75,4;75,4;63,0;2;0;
26/08/2013;01:06:35;75,4;75,4;63,0;2;0;
26/08/2013;01:07:36;75,4;75,4;63,0;2;0;
26/08/2013;01:08:35;75,4;75,4;63,0;2;0;
26/08/2013;01:09:35;75,4;75,4;63,0;2;0;
26/08/2013;01:10:35;75,4;75,4;63,0;2;0;
26/08/2013;01:11:35;75,4;75,4;63,0;2;0;
26/08/2013;01:12:35;75,5;75,4;63,0;2;0;
26/08/2013;01:13:35;75,4;75,4;63,0;2;0;
26/08/2013;01:14:35;75,5;75,4;63,0;2;0;
26/08/2013;01:15:36;75,5;75,4;63,0;2;0;
26/08/2013;01:16:36;75,5;75,4;63,0;2;0;
26/08/2013;01:17:36;75,5;75,4;63,0;2;0;
26/08/2013;01:18:35;75,5;75,4;63,0;2;0;
26/08/2013;01:19:35;75,5;75,4;63,0;2;0;
26/08/2013;01:20:35;75,5;75,4;63,0;2;0;
26/08/2013;01:21:35;75,5;75,4;63,0;2;0;
26/08/2013;01:22:36;75,5;75,4;63,0;2;0;
26/08/2013;01:23:36;75,5;75,4;63,0;2;0;
26/08/2013;01:24:36;75,5;75,4;63,0;2;0;
26/08/2013;01:25:35;75,5;75,4;63,0;2;0;
26/08/2013;01:26:35;75,5;75,4;63,0;2;0;
26/08/2013;01:27:35;75,5;75,4;63,0;2;0;
26/08/2013;01:28:36;75,5;75,4;63,0;2;0;
26/08/2013;01:29:36;75,6;75,4;63,0;2;0;
26/08/2013;01:30:36;75,5;75,4;63,0;2;0;
26/08/2013;01:31:36;75,5;75,4;63,0;2;0;
26/08/2013;01:32:36;75,6;75,4;63,0;2;0;
26/08/2013;01:33:36;75,6;75,4;63,0;2;0;
26/08/2013;01:34:35;75,6;75,4;63,0;2;0;
26/08/2013;01:35:36;75,6;75,4;63,0;2;0;
26/08/2013;01:36:36;75,6;75,4;63,0;2;0;
26/08/2013;01:37:36;75,6;75,4;63,0;2;0;
26/08/2013;01:38:36;75,6;75,4;63,0;2;0;
26/08/2013;01:39:36;75,6;75,4;63,0;2;0;
26/08/2013;01:40:36;75,6;75,4;63,0;2;0;
26/08/2013;01:41:36;75,6;75,4;63,0;2;0;
26/08/2013;01:42:36;75,6;75,4;63,0;2;0;
26/08/2013;01:43:36;75,6;75,4;63,0;2;0;
26/08/2013;01:44:36;75,6;75,4;63,0;2;0;
26/08/2013;01:45:36;75,6;75,4;63,0;2;0;
26/08/2013;01:46:36;75,6;75,4;63,0;2;0;
26/08/2013;01:47:36;75,6;75,4;63,0;2;0;
26/08/2013;01:48:36;75,6;75,4;63,0;2;0;
26/08/2013;01:49:36;75,6;75,4;63,0;2;0;
26/08/2013;01:50:36;75,6;75,4;63,0;2;0;
26/08/2013;01:51:36;75,6;75,4;63,0;2;0;
26/08/2013;01:52:36;75,6;75,4;63,0;2;0;
26/08/2013;01:53:36;75,6;75,4;63,0;2;0;
26/08/2013;01:54:36;75,6;75,4;63,0;2;0;
26/08/2013;01:55:36;75,6;75,4;63,0;2;0;
26/08/2013;01:56:36;75,6;75,4;63,0;2;0;
26/08/2013;01:57:36;75,6;75,4;63,0;2;0;
26/08/2013;01:58:36;75,6;75,4;63,0;2;0;
26/08/2013;01:59:36;75,6;75,4;63,0;2;0;
26/08/2013;02:00:36;75,6;75,4;63,0;2;0;
26/08/2013;02:01:36;75,6;75,4;63,0;2;0;
26/08/2013;02:02:36;75,6;75,4;63,0;2;0;
26/08/2013;02:03:36;75,6;75,4;63,0;2;0;
26/08/2013;02:04:36;75,6;75,4;63,0;2;0;
26/08/2013;02:05:36;75,6;75,4;63,0;2;0;
26/08/2013;02:06:36;75,6;75,4;63,0;2;0;
26/08/2013;02:07:36;75,6;75,4;63,0;2;0;
26/08/2013;02:08:36;75,6;75,4;63,0;2;0;
26/08/2013;02:09:36;75,6;75,4;63,0;2;0;
26/08/2013;02:10:36;75,6;75,4;63,0;2;0;
26/08/2013;02:11:36;75,6;75,4;63,0;2;0;
26/08/2013;02:12:36;75,6;75,4;63,0;2;0;
